window_start,market,tweet_count,unique_authors,engagement_total,bullish_count,bearish_count,neutral_count,composite_signal,ci95_lower,ci95_upper,confidence,manipulation_risk_mean
2026-08-04T11:15:00+00:00,other,23,21,193,3,4,16,0.001705,-0.361008,0.364418,0.705773,0.0
2026-08-04T11:15:00+00:00,sensex,5,5,1,1,1,3,0.012704,-0.993218,1.0,0.40625,0.0
2026-08-04T11:30:00+00:00,banknifty,3,3,8,0,0,3,0.0,0.0,0.0,0.58375,0.0
2026-08-04T11:30:00+00:00,nifty50,9,8,4,1,1,7,0.009265,-0.558878,0.577408,0.498732,0.0
2026-08-04T11:30:00+00:00,other,28,24,68,5,2,21,0.153407,-0.171915,0.47873,0.749935,0.0
2026-08-04T11:30:00+00:00,sensex,6,6,10,1,1,4,0.014395,-0.777716,0.806507,0.459078,0.0
2026-08-04T11:45:00+00:00,banknifty,5,4,6,1,2,2,-0.19599,-1.0,0.904519,0.33625,0.0
2026-08-04T11:45:00+00:00,nifty50,5,5,1,1,0,4,0.064091,-0.1415,0.269683,0.565132,0.0
2026-08-04T11:45:00+00:00,other,21,19,23,5,4,12,0.001473,-0.491807,0.494753,0.654261,0.0
2026-08-04T11:45:00+00:00,sensex,5,5,2,1,0,4,0.217745,-0.428651,0.864141,0.476971,0.0
2026-08-04T12:00:00+00:00,banknifty,3,3,4,1,0,2,0.313641,-0.595745,1.0,0.401873,0.1
2026-08-04T12:00:00+00:00,nifty50,12,12,11,0,2,10,-0.178074,-0.546898,0.190751,0.611235,0.0
2026-08-04T12:00:00+00:00,other,40,23,152,1,1,38,-0.007319,-0.131261,0.116623,0.826462,0.0075
2026-08-04T12:00:00+00:00,sensex,7,6,2,1,0,6,0.155867,-0.321883,0.633617,0.4832,0.0
2026-08-04T12:15:00+00:00,banknifty,5,4,3,1,0,4,0.193881,-0.408228,0.79599,0.415828,0.0
2026-08-04T12:15:00+00:00,nifty50,8,8,8,2,2,4,-0.066504,-0.806046,0.673037,0.492092,0.0
2026-08-04T12:15:00+00:00,other,23,21,278,5,3,15,0.06978,-0.291352,0.430911,0.706089,0.013043
2026-08-04T12:15:00+00:00,sensex,7,6,4,1,2,4,-0.147214,-0.977632,0.683204,0.412666,0.0
2026-08-04T12:30:00+00:00,banknifty,6,6,9,0,1,5,-0.216726,-0.773755,0.340303,0.506094,0.0
2026-08-04T12:30:00+00:00,intraday,2,1,5,0,0,2,0.0,0.0,0.0,0.3975,0.0
2026-08-04T12:30:00+00:00,nifty50,3,3,110,0,0,3,0.0,0.0,0.0,0.58375,0.0
2026-08-04T12:30:00+00:00,other,32,28,159,7,2,23,0.163056,-0.096242,0.422354,0.81439,0.0
2026-08-04T12:30:00+00:00,sensex,2,2,60,0,1,1,-0.342449,-1.0,0.587627,0.386485,0.0
2026-08-04T12:45:00+00:00,banknifty,2,2,2,0,0,2,0.0,0.0,0.0,0.5725,0.0
2026-08-04T12:45:00+00:00,nifty50,6,6,3,2,1,3,0.209352,-0.730618,1.0,0.429506,0.0
2026-08-04T12:45:00+00:00,other,38,28,34,5,1,32,0.092951,-0.10359,0.289492,0.846087,0.0
2026-08-04T13:00:00+00:00,nifty50,5,5,7,0,0,5,0.0,0.0,0.0,0.60625,0.06
2026-08-04T13:00:00+00:00,other,23,22,341,4,3,16,0.007594,-0.300387,0.315574,0.731937,0.013043
2026-08-04T13:00:00+00:00,sensex,4,4,2,3,0,1,0.765902,0.062271,1.0,0.454274,0.0
2026-08-04T13:15:00+00:00,banknifty,5,5,43,1,1,3,0.006857,-0.792589,0.806302,0.446361,0.0
2026-08-04T13:15:00+00:00,intraday,3,1,1,3,0,0,1.0,1.0,1.0,0.350417,0.0
2026-08-04T13:15:00+00:00,nifty50,3,3,4,1,1,1,0.215154,-0.793893,1.0,0.38375,0.0
2026-08-04T13:15:00+00:00,other,22,19,45,2,3,17,0.020811,-0.282307,0.32393,0.689149,0.013636
2026-08-04T13:15:00+00:00,sensex,5,4,3,2,0,3,0.416546,-0.305729,1.0,0.391795,0.0
2026-08-04T13:30:00+00:00,banknifty,3,2,1,1,0,2,0.319083,-0.577083,1.0,0.28785,0.0
2026-08-04T13:30:00+00:00,intraday,3,1,24,0,0,3,0.0,0.0,0.0,0.350417,0.0
2026-08-04T13:30:00+00:00,nifty50,2,2,7,2,0,0,1.0,1.0,1.0,0.5725,0.0
2026-08-04T13:30:00+00:00,other,19,16,38,5,3,11,0.050389,-0.398001,0.498778,0.618809,0.0
2026-08-04T13:30:00+00:00,sensex,3,3,0,0,1,2,-0.355645,-1.0,0.547592,0.403103,0.0
2026-08-04T13:45:00+00:00,banknifty,1,1,3,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T13:45:00+00:00,intraday,2,2,7,1,0,1,0.543415,-0.432884,1.0,0.37724,0.0
2026-08-04T13:45:00+00:00,nifty50,4,4,0,0,1,3,-0.263781,-1.0,0.475682,0.447107,0.0
2026-08-04T13:45:00+00:00,other,23,22,43,6,3,14,0.134862,-0.259037,0.528761,0.714753,0.013043
2026-08-04T13:45:00+00:00,sensex,3,3,6,0,2,1,-0.687795,-1.0,0.129903,0.42021,0.0
2026-08-04T14:00:00+00:00,banknifty,8,6,23,2,2,4,0.032943,-0.713306,0.779192,0.40325,0.0
2026-08-04T14:00:00+00:00,intraday,1,1,8,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T14:00:00+00:00,nifty50,4,4,3,1,1,2,0.060371,-1.0,1.0,0.395,0.075
2026-08-04T14:00:00+00:00,other,29,25,118,3,2,24,0.025432,-0.178961,0.229825,0.787096,0.0
2026-08-04T14:00:00+00:00,sensex,4,4,2,0,0,4,0.0,0.0,0.0,0.595,0.0
2026-08-04T14:15:00+00:00,banknifty,7,5,12,1,1,5,-0.059771,-0.583159,0.463617,0.424072,0.042857
2026-08-04T14:15:00+00:00,intraday,3,1,24,2,0,1,0.668083,-0.107546,1.0,0.195291,0.0
2026-08-04T14:15:00+00:00,nifty50,9,8,1,0,0,9,0.0,0.0,0.0,0.612361,0.0
2026-08-04T14:15:00+00:00,other,20,18,87,3,6,11,-0.173502,-0.63328,0.286276,0.648044,0.015
2026-08-04T14:15:00+00:00,sensex,1,1,0,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T14:30:00+00:00,banknifty,4,4,1,1,1,2,0.157254,-0.653998,0.968507,0.432749,0.0
2026-08-04T14:30:00+00:00,intraday,3,1,22,0,0,3,0.0,0.0,0.0,0.350417,0.0
2026-08-04T14:30:00+00:00,nifty50,9,8,12,2,1,6,0.128157,-0.45468,0.710994,0.495794,0.0
2026-08-04T14:30:00+00:00,other,30,25,75,7,5,18,0.081225,-0.260053,0.422504,0.760911,0.0
2026-08-04T14:30:00+00:00,sensex,2,2,0,2,0,0,1.0,1.0,1.0,0.5725,0.0
2026-08-04T14:45:00+00:00,banknifty,3,3,0,0,1,2,-0.153435,-0.586103,0.279232,0.497217,0.0
2026-08-04T14:45:00+00:00,intraday,2,1,14,0,0,2,0.0,0.0,0.0,0.3975,0.0
2026-08-04T14:45:00+00:00,nifty50,6,4,0,3,0,3,0.484236,-0.192532,1.0,0.36548,0.0
2026-08-04T14:45:00+00:00,other,34,32,20,10,3,21,0.168771,-0.132063,0.469604,0.851745,0.008824
2026-08-04T14:45:00+00:00,sensex,3,3,3,1,0,2,0.455745,-0.475514,1.0,0.397498,0.1
2026-08-04T15:00:00+00:00,banknifty,6,5,1,4,0,2,0.645859,0.040326,1.0,0.43806,0.0
2026-08-04T15:00:00+00:00,nifty50,2,2,1,0,0,2,0.0,0.0,0.0,0.5725,0.0
2026-08-04T15:00:00+00:00,other,21,20,59,3,2,16,0.055349,-0.248889,0.359588,0.708736,0.014286
2026-08-04T15:15:00+00:00,banknifty,7,7,10,1,1,5,-0.006521,-0.579184,0.566142,0.514217,0.0
2026-08-04T15:15:00+00:00,nifty50,5,5,2,0,1,4,-0.19207,-0.733848,0.349707,0.497894,0.0
2026-08-04T15:15:00+00:00,other,16,13,8,4,0,12,0.185029,-0.08663,0.456687,0.610043,0.0
2026-08-04T15:15:00+00:00,sensex,3,3,0,0,0,3,0.0,0.0,0.0,0.58375,0.0
2026-08-04T15:30:00+00:00,banknifty,7,5,26,3,0,4,0.358318,-0.114049,0.830685,0.434277,0.0
2026-08-04T15:30:00+00:00,nifty50,1,1,2,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T15:30:00+00:00,other,46,33,77,8,9,29,-0.009469,-0.283478,0.26454,0.846285,0.013043
2026-08-04T15:30:00+00:00,sensex,6,4,24,2,1,3,0.114841,-0.750164,0.979845,0.327832,0.05
2026-08-04T15:45:00+00:00,banknifty,5,5,3,0,0,5,0.0,0.0,0.0,0.60625,0.0
2026-08-04T15:45:00+00:00,nifty50,2,2,1,1,0,1,0.463216,-0.514128,1.0,0.377031,0.0
2026-08-04T15:45:00+00:00,other,50,44,32,8,8,34,-0.002844,-0.250967,0.24528,0.908375,0.006
2026-08-04T15:45:00+00:00,sensex,3,3,0,1,1,1,-0.033596,-1.0,1.0,0.38375,0.0
2026-08-04T16:00:00+00:00,banknifty,3,2,1,1,0,2,0.234602,-0.447304,0.916508,0.330702,0.2
2026-08-04T16:00:00+00:00,nifty50,2,2,1,0,0,2,0.0,0.0,0.0,0.5725,0.0
2026-08-04T16:00:00+00:00,other,39,30,53,6,6,27,-0.002815,-0.224655,0.219025,0.863613,0.0
2026-08-04T16:00:00+00:00,sensex,1,1,1,1,0,0,1.0,1.0,1.0,0.56125,0.0
2026-08-04T16:15:00+00:00,banknifty,12,8,3,7,0,5,0.46929,0.059019,0.87956,0.486279,0.025
2026-08-04T16:15:00+00:00,nifty50,6,5,1,1,1,4,-0.001441,-0.694976,0.692094,0.42046,0.0
2026-08-04T16:15:00+00:00,other,49,37,40,7,4,38,0.066372,-0.133116,0.26586,0.874388,0.0
2026-08-04T16:15:00+00:00,sensex,5,5,0,0,0,5,0.0,0.0,0.0,0.60625,0.0
2026-08-04T16:30:00+00:00,banknifty,3,3,5,1,1,1,-0.179263,-1.0,0.669674,0.413963,0.0
2026-08-04T16:30:00+00:00,nifty50,1,1,0,0,0,1,0.0,0.0,0.0,0.56125,0.0
2026-08-04T16:30:00+00:00,other,26,24,57,7,1,18,0.228333,-0.050377,0.507042,0.759835,0.0
2026-08-04T16:45:00+00:00,other,27,23,6,7,3,17,0.153291,-0.177271,0.483853,0.735786,0.0
2026-08-04T16:45:00+00:00,sensex,1,1,1,1,0,0,1.0,1.0,1.0,0.56125,0.0
2026-08-04T17:00:00+00:00,other,1,1,1,0,0,1,0.0,0.0,0.0,0.56125,0.0
